Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose_x,pose_y,pose_theta,ticks1,ticks2,ticks3,ticks4
1651525363.208643,17448,1649348648,859687942,world,0.024221817031502724,0.003742524655535817,-0.009418701789503428,17269.0,11412.0,15462.0,13165.0
1651525363.2086656,17449,1649348648,859723064,world,0.023941779509186745,0.004263431299477816,-0.005132928114691197,17269.0,11412.0,15462.0,13165.0
1651525363.2086768,17450,1649348648,862051055,world,0.02518487349152565,0.004701722413301468,-8.906507992474402e-06,17269.0,11412.0,15462.0,13165.0
1651525363.2155888,17451,1649348648,869423977,world,0.026604115962982178,0.005366175435483456,-0.040061540852570965,17269.0,11412.0,15462.0,13165.0
1651525363.2256668,17452,1649348648,876928562,world,0.024941442534327507,0.0032353270798921585,-0.005788366791284337,17269.0,11412.0,15462.0,13165.0
1651525363.2296336,17453,1649348648,886114024,world,0.025475656613707542,0.003342257346957922,-0.009920993944169653,17269.0,11412.0,15462.0,13165.0
1651525363.2296565,17454,1649348648,886154075,world,0.024274224415421486,0.004064752720296383,-0.01984864956752629,17269.0,11412.0,15462.0,13165.0
1651525363.2331362,17455,1649348648,892488815,world,0.025911306962370872,0.004562845453619957,-0.01705508803448443,17269.0,11412.0,15462.0,13165.0
1651525363.2412138,17456,1649348648,901241580,world,0.024796294048428535,0.00484715960919857,-0.015885165212467568,17269.0,11412.0,15462.0,13165.0
1651525363.2446413,17457,1649348648,903043665,world,0.023818816989660263,0.0034420595038682222,-0.010958770586588075,17269.0,11412.0,15462.0,13165.0
1651525363.2484865,17458,1649348648,909285675,world,0.025472721084952354,0.004271449521183968,-0.015677321820453064,17269.0,11412.0,15462.0,13165.0
1651525363.261346,17459,1649348648,917138366,world,0.026651209220290184,0.0037960310000926256,-0.033445030893268654,17269.0,11412.0,15462.0,13165.0
1651525363.264826,17460,1649348648,925269242,world,0.025376640260219574,0.005551377311348915,-0.02482137635938867,17269.0,11412.0,15462.0,13165.0
1651525363.2690701,17461,1649348648,928493842,world,0.02554383873939514,0.004201933741569519,-0.041296049770957716,17269.0,11412.0,15462.0,13165.0
1651525363.2723622,17462,1649348648,932580103,world,0.023854993283748627,0.004322074353694916,-0.0055018325359889484,17269.0,11412.0,15462.0,13165.0
1651525363.2824242,17463,1649348648,942056801,world,0.024523364380002022,0.005068486090749502,-0.0175635494639143,17269.0,11412.0,15462.0,13165.0
1651525363.3068562,17464,1649348648,965059754,world,0.02420422062277794,0.003966408781707287,-0.04523680935917575,17269.0,11412.0,15462.0,13165.0
1651525363.3189116,17465,1649348648,965149718,world,0.024567658081650734,0.0017308936221525073,-0.038064104506364264,17269.0,11412.0,15462.0,13165.0
